DATE,DAY,MONTH,Quarter,YEAR,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,NO. OF  TRADES
27-Feb-26,Friday,February,Q1,2026,EQ,2210.00,2216.40,2153.00,2216.40,2157.00,2161.80,2172.76,2695.00,1848.00,1433096.00,39471.00
26-Feb-26,Thursday,February,Q1,2026,EQ,2230.00,2232.40,2200.10,2231.70,2215.40,2216.40,2214.12,2695.00,1848.00,915342.00,48638.00
25-Feb-26,Wednesday,February,Q1,2026,EQ,2193.20,2237.30,2180.10,2183.00,2225.00,2231.70,2210.01,2695.00,1848.00,1474187.00,63011.00
24-Feb-26,Tuesday,February,Q1,2026,EQ,2168.60,2204.70,2162.20,2191.00,2184.00,2183.00,2182.09,2695.00,1848.00,1152423.00,45878.00
23-Feb-26,Monday,February,Q1,2026,EQ,2180.00,2203.00,2155.30,2160.80,2186.70,2191.00,2185.30,2695.00,1848.00,1103960.00,41831.00
20-Feb-26,Friday,February,Q1,2026,EQ,2160.00,2174.40,2152.10,2156.70,2160.30,2160.80,2162.37,2695.00,1848.00,738454.00,27557.00
19-Feb-26,Thursday,February,Q1,2026,EQ,2218.90,2218.90,2151.00,2211.20,2159.00,2156.70,2175.25,2695.00,1848.00,1101633.00,51782.00
18-Feb-26,Wednesday,February,Q1,2026,EQ,2254.00,2254.00,2188.10,2242.90,2213.00,2211.20,2210.56,2695.00,1848.00,1149398.00,48505.00
17-Feb-26,Tuesday,February,Q1,2026,EQ,2170.00,2252.00,2170.00,2184.60,2244.40,2242.90,2218.44,2695.00,1848.00,1931699.00,62075.00
16-Feb-26,Monday,February,Q1,2026,EQ,2124.20,2190.90,2103.20,2136.60,2181.30,2184.60,2159.21,2695.00,1848.00,1824808.00,69844.00
13-Feb-26,Friday,February,Q1,2026,EQ,2210.00,2210.00,2124.20,2211.80,2127.00,2136.60,2153.02,2695.00,1848.00,1489548.00,57301.00
12-Feb-26,Thursday,February,Q1,2026,EQ,2229.00,2229.50,2201.00,2234.40,2209.00,2211.80,2210.84,2695.00,1848.00,649585.00,33140.00
11-Feb-26,Wednesday,February,Q1,2026,EQ,2232.90,2237.70,2215.10,2228.40,2230.00,2234.40,2229.57,2695.00,1848.00,682320.00,30700.00
10-Feb-26,Tuesday,February,Q1,2026,EQ,2259.00,2268.30,2171.00,2250.10,2227.30,2228.40,2225.16,2695.00,1848.00,1670672.00,72035.00
9-Feb-26,Monday,February,Q1,2026,EQ,2250.00,2288.00,2240.00,2226.40,2250.40,2250.10,2261.50,2695.00,1848.00,1650899.00,50286.00
6-Feb-26,Friday,February,Q1,2026,EQ,2226.10,2238.00,2200.40,2236.60,2219.00,2226.40,2221.02,2695.00,1848.00,933650.00,37449.00
5-Feb-26,Thursday,February,Q1,2026,EQ,2232.00,2243.70,2210.00,2228.20,2232.60,2236.60,2224.95,2695.00,1848.00,992382.00,42025.00
4-Feb-26,Wednesday,February,Q1,2026,EQ,2220.00,2246.00,2189.20,2202.60,2225.00,2228.20,2218.87,2695.00,1848.00,2051918.00,71644.00
3-Feb-26,Tuesday,February,Q1,2026,EQ,2150.00,2233.40,2131.10,1995.40,2206.50,2202.60,2201.97,2695.00,1848.00,6918581.00,239268.00
2-Feb-26,Monday,February,Q1,2026,EQ,1956.60,2002.20,1934.00,1942.80,1995.00,1995.40,1967.79,2695.00,1848.00,1229270.00,61151.00
1-Feb-26,Sunday,February,Q1,2026,EQ,2021.00,2039.80,1931.00,2020.40,1937.80,1942.80,1981.17,2695.00,1848.00,1802165.00,61214.00
30-Jan-26,Friday,January,Q1,2026,EQ,2005.00,2038.80,1992.20,2019.20,2020.00,2020.40,2022.61,2695.00,1848.00,1230915.00,52794.00
29-Jan-26,Thursday,January,Q1,2026,EQ,1999.80,2029.10,1972.00,1994.70,2016.00,2019.20,1999.01,2695.00,1848.00,1391239.00,52774.00
28-Jan-26,Wednesday,January,Q1,2026,EQ,1985.00,2004.00,1952.00,1959.50,1995.00,1994.70,1983.29,2695.00,1848.00,2073198.00,64566.00
27-Jan-26,Tuesday,January,Q1,2026,EQ,1909.00,1973.90,1893.00,1864.20,1963.00,1959.50,1946.17,2695.00,1848.00,5449633.00,175711.00
23-Jan-26,Friday,January,Q1,2026,EQ,2080.50,2082.50,1848.00,2086.40,1861.80,1864.20,1920.06,2695.00,1848.00,7492631.00,229436.00
22-Jan-26,Thursday,January,Q1,2026,EQ,2055.90,2102.90,2051.00,2032.20,2088.20,2086.40,2080.73,2695.00,2004.10,942721.00,39536.00
21-Jan-26,Wednesday,January,Q1,2026,EQ,2056.50,2068.20,2004.10,2055.10,2038.00,2032.20,2040.55,2695.00,2004.10,1354644.00,54963.00
20-Jan-26,Tuesday,January,Q1,2026,EQ,2134.00,2139.90,2040.00,2134.60,2050.00,2055.10,2088.47,2695.00,2026.55,1160975.00,53992.00
19-Jan-26,Monday,January,Q1,2026,EQ,2155.00,2156.80,2123.00,2157.30,2129.00,2134.60,2138.36,2695.00,2026.55,749495.00,34175.00
16-Jan-26,Friday,January,Q1,2026,EQ,2162.80,2193.90,2152.10,2153.30,2159.00,2157.30,2173.47,2695.00,2026.55,758469.00,35470.00
14-Jan-26,Wednesday,January,Q1,2026,EQ,2156.00,2169.00,2142.00,2158.50,2152.00,2153.30,2156.29,2695.00,2026.55,618139.00,31911.00
13-Jan-26,Tuesday,January,Q1,2026,EQ,2187.80,2187.80,2141.10,2171.60,2156.50,2158.50,2162.56,2695.00,2026.55,791556.00,32648.00
12-Jan-26,Monday,January,Q1,2026,EQ,2156.60,2180.00,2119.00,2153.70,2177.00,2171.60,2150.41,2695.00,2026.55,1257197.00,53143.00
9-Jan-26,Friday,January,Q1,2026,EQ,2214.10,2216.00,2145.00,2214.00,2156.60,2153.70,2173.43,2695.00,2026.55,1570376.00,64331.00
8-Jan-26,Thursday,January,Q1,2026,EQ,2275.00,2275.90,2205.00,2274.10,2209.30,2214.00,2230.97,2695.00,2026.55,792800.00,38536.00
7-Jan-26,Wednesday,January,Q1,2026,EQ,2265.00,2284.00,2243.00,2259.10,2271.90,2274.10,2267.55,2695.00,2026.55,529451.00,28649.00
6-Jan-26,Tuesday,January,Q1,2026,EQ,2288.90,2290.40,2248.10,2279.50,2262.00,2259.10,2266.66,2695.00,2026.55,698294.00,30388.00
5-Jan-26,Monday,January,Q1,2026,EQ,2287.00,2303.90,2274.30,2279.80,2279.00,2279.50,2285.62,2695.00,2026.55,696380.00,35281.00
2-Jan-26,Friday,January,Q1,2026,EQ,2260.00,2283.70,2259.00,2260.00,2278.00,2279.80,2273.24,2695.00,2026.55,715242.00,31529.00
1-Jan-26,Thursday,January,Q1,2026,EQ,2249.00,2287.40,2241.00,2239.70,2254.40,2260.00,2265.77,2695.00,2026.55,1046220.00,44508.00
31-Dec-25,Wednesday,December,Q4,2025,EQ,2216.30,2246.40,2216.30,2214.70,2239.00,2239.70,2234.92,2695.00,2026.55,779141.00,26919.00
30-Dec-25,Tuesday,December,Q4,2025,EQ,2204.80,2219.00,2195.00,2203.20,2215.80,2214.70,2209.11,2695.00,2026.55,935026.00,45283.00
29-Dec-25,Monday,December,Q4,2025,EQ,2232.00,2238.20,2196.00,2229.90,2201.00,2203.20,2214.63,2695.00,2026.55,690691.00,27113.00
26-Dec-25,Friday,December,Q4,2025,EQ,2229.30,2250.90,2218.00,2222.70,2231.00,2229.90,2235.41,2695.00,2026.55,566237.00,24388.00
24-Dec-25,Wednesday,December,Q4,2025,EQ,2250.00,2258.80,2217.40,2248.80,2218.00,2222.70,2238.00,2695.00,2026.55,825693.00,27346.00
23-Dec-25,Tuesday,December,Q4,2025,EQ,2272.50,2273.60,2245.00,2263.50,2246.70,2248.80,2256.97,2695.00,2026.55,450112.00,23215.00
22-Dec-25,Monday,December,Q4,2025,EQ,2260.00,2274.00,2245.90,2239.00,2261.00,2263.50,2262.46,2695.00,2026.55,599195.00,28721.00
19-Dec-25,Friday,December,Q4,2025,EQ,2249.00,2250.00,2210.00,2229.30,2243.90,2239.00,2230.79,2695.00,2026.55,880005.00,31918.00
18-Dec-25,Thursday,December,Q4,2025,EQ,2236.40,2245.00,2211.10,2232.50,2228.20,2229.30,2230.17,2695.00,2026.55,508238.00,25318.00
17-Dec-25,Wednesday,December,Q4,2025,EQ,2247.60,2255.00,2221.00,2247.90,2232.00,2232.50,2234.72,2695.00,2026.55,651509.00,34504.00
16-Dec-25,Tuesday,December,Q4,2025,EQ,2270.00,2276.80,2232.10,2278.90,2242.00,2247.90,2248.44,2695.00,2026.55,654714.00,34760.00
15-Dec-25,Monday,December,Q4,2025,EQ,2282.40,2300.00,2273.00,2282.40,2280.00,2278.90,2284.25,2695.00,2026.55,573027.00,29762.00
12-Dec-25,Friday,December,Q4,2025,EQ,2277.70,2296.80,2270.20,2277.70,2284.00,2282.40,2282.72,2695.00,2026.55,929199.00,31417.00
11-Dec-25,Thursday,December,Q4,2025,EQ,2225.00,2293.90,2192.40,2211.60,2270.20,2277.70,2255.58,2695.00,2026.55,1519832.00,52376.00
10-Dec-25,Wednesday,December,Q4,2025,EQ,2255.80,2267.50,2204.10,2245.20,2213.90,2211.60,2239.02,2695.00,2026.55,935149.00,37803.00
9-Dec-25,Tuesday,December,Q4,2025,EQ,2216.20,2257.00,2178.40,2216.20,2250.00,2245.20,2226.67,2695.00,2026.55,1227728.00,51676.00
8-Dec-25,Monday,December,Q4,2025,EQ,2265.40,2270.40,2205.00,2265.40,2212.00,2216.20,2229.82,2695.00,2026.55,939764.00,43380.00
5-Dec-25,Friday,December,Q4,2025,EQ,2217.90,2268.60,2202.90,2217.90,2263.00,2265.40,2240.36,2695.00,2026.55,2400781.00,67680.00
4-Dec-25,Thursday,December,Q4,2025,EQ,2188.00,2231.70,2183.40,2189.80,2216.80,2217.90,2212.67,2695.00,2026.55,2522821.00,67347.00
3-Dec-25,Wednesday,December,Q4,2025,EQ,2240.00,2245.00,2172.20,2239.60,2191.60,2189.80,2204.17,2695.00,2026.55,1643852.00,63240.00
2-Dec-25,Tuesday,December,Q4,2025,EQ,2255.00,2267.20,2232.20,2262.00,2239.00,2239.60,2244.60,2695.00,2026.55,1035354.00,46209.00
1-Dec-25,Monday,December,Q4,2025,EQ,2300.00,2304.00,2257.00,2280.20,2259.90,2262.00,2277.13,2695.00,2026.55,1313265.00,42480.00
28-Nov-25,Friday,November,Q4,2025,EQ,2267.10,2331.00,2247.80,2255.00,2282.00,2280.20,2295.96,2695.00,2026.55,3037620.00,86014.00
27-Nov-25,Thursday,November,Q4,2025,EQ,2310.00,2320.50,2243.00,2315.00,2249.00,2255.00,2283.07,2695.00,2026.55,1474038.00,61990.00
26-Nov-25,Wednesday,November,Q4,2025,EQ,2321.20,2357.00,2310.00,2332.90,2313.90,2315.00,2334.95,2695.00,2026.55,1026965.00,47392.00
25-Nov-25,Tuesday,November,Q4,2025,EQ,2400.90,2407.70,2325.30,2399.20,2329.40,2332.90,2364.69,2695.00,2026.55,2223715.00,69285.00
24-Nov-25,Monday,November,Q4,2025,EQ,2426.20,2432.30,2393.10,2422.30,2398.90,2399.20,2409.75,2695.00,2026.55,691419.00,32464.00
21-Nov-25,Friday,November,Q4,2025,EQ,2450.00,2456.20,2418.00,2446.10,2419.00,2422.30,2433.91,2894.80,2025.00,547541.00,23006.00
20-Nov-25,Thursday,November,Q4,2025,EQ,2450.10,2478.90,2440.40,2433.10,2448.00,2446.10,2456.68,2894.80,2025.00,1526556.00,49383.00
19-Nov-25,Wednesday,November,Q4,2025,EQ,2446.50,2449.90,2413.90,2436.80,2431.00,2433.10,2432.60,2894.80,2025.00,774785.00,29152.00
18-Nov-25,Tuesday,November,Q4,2025,EQ,2462.00,2478.60,2434.30,2462.00,2439.00,2436.80,2448.31,2894.80,2025.00,1245215.00,33053.00
17-Nov-25,Monday,November,Q4,2025,EQ,2460.00,2474.90,2421.00,2516.80,2466.80,2462.00,2448.66,2894.80,2025.00,2672697.00,64529.00
14-Nov-25,Friday,November,Q4,2025,EQ,2500.00,2553.70,2481.00,2488.20,2524.10,2516.80,2524.48,2946.80,2025.00,4496233.00,98231.00
13-Nov-25,Thursday,November,Q4,2025,EQ,2502.00,2525.00,2468.10,2484.50,2488.00,2488.20,2495.26,2946.80,2025.00,2706326.00,69562.00
12-Nov-25,Wednesday,November,Q4,2025,EQ,2384.00,2517.50,2361.00,2366.80,2485.20,2484.50,2468.19,2946.80,2025.00,6685426.00,166963.00
11-Nov-25,Tuesday,November,Q4,2025,EQ,2368.00,2378.90,2338.50,2370.70,2370.20,2366.80,2359.28,2946.80,2025.00,634172.00,33161.00
10-Nov-25,Monday,November,Q4,2025,EQ,2380.90,2388.00,2364.00,2369.40,2365.00,2370.70,2374.43,2946.80,2025.00,559808.00,30696.00
7-Nov-25,Friday,November,Q4,2025,EQ,2315.00,2402.50,2291.40,2314.30,2374.80,2369.40,2362.99,3070.00,2025.00,2232889.00,69168.00
6-Nov-25,Thursday,November,Q4,2025,EQ,2425.10,2427.10,2307.60,2419.80,2311.00,2314.30,2346.40,3070.00,2025.00,1978147.00,87565.00
4-Nov-25,Tuesday,November,Q4,2025,EQ,2479.80,2488.90,2390.60,2467.00,2399.90,2419.80,2433.37,3070.00,2025.00,2072668.00,77117.00
3-Nov-25,Monday,November,Q4,2025,EQ,2484.00,2501.90,2457.50,2481.00,2469.50,2467.00,2476.60,3070.00,2025.00,731108.00,36644.00
31-Oct-25,Friday,October,Q4,2025,EQ,2535.00,2543.50,2464.90,2526.90,2474.90,2481.00,2506.83,3070.00,2025.00,848642.00,36750.00
30-Oct-25,Thursday,October,Q4,2025,EQ,2550.00,2559.40,2511.80,2537.40,2528.80,2526.90,2533.16,3070.00,2025.00,783328.00,30911.00
29-Oct-25,Wednesday,October,Q4,2025,EQ,2500.00,2600.00,2495.50,2494.40,2553.50,2537.40,2557.11,3070.00,2025.00,1526734.00,63774.00
28-Oct-25,Tuesday,October,Q4,2025,EQ,2495.00,2516.00,2479.10,2492.80,2499.00,2494.40,2497.36,3070.00,2025.00,626988.00,43588.00
27-Oct-25,Monday,October,Q4,2025,EQ,2504.20,2514.60,2487.10,2504.20,2490.00,2492.80,2498.12,3070.00,2025.00,478055.00,28241.00
24-Oct-25,Friday,October,Q4,2025,EQ,2554.80,2554.80,2497.70,2545.80,2505.70,2504.20,2517.27,3070.00,2025.00,473765.00,26841.00
23-Oct-25,Thursday,October,Q4,2025,EQ,2559.90,2577.80,2540.90,2549.90,2544.90,2545.80,2561.59,3070.00,2025.00,852445.00,28965.00
21-Oct-25,Tuesday,October,Q4,2025,EQ,2554.90,2562.00,2542.30,2548.10,2548.50,2549.90,2552.61,3070.00,2025.00,101019.00,5843.00
20-Oct-25,Monday,October,Q4,2025,EQ,2561.30,2579.00,2537.10,2549.40,2550.00,2548.10,2555.35,3070.00,2025.00,747349.00,36293.00
17-Oct-25,Friday,October,Q4,2025,EQ,2560.00,2577.20,2543.10,2557.60,2545.00,2549.40,2557.23,3150.10,2025.00,682968.00,28888.00
16-Oct-25,Thursday,October,Q4,2025,EQ,2544.80,2579.70,2540.90,2532.80,2554.50,2557.60,2563.43,3150.10,2025.00,1020102.00,36921.00
15-Oct-25,Wednesday,October,Q4,2025,EQ,2535.00,2561.40,2527.30,2517.00,2538.80,2532.80,2542.20,3150.10,2025.00,759772.00,32585.00
14-Oct-25,Tuesday,October,Q4,2025,EQ,2538.90,2538.90,2485.20,2527.40,2519.00,2517.00,2510.23,3150.10,2025.00,673048.00,30957.00
13-Oct-25,Monday,October,Q4,2025,EQ,2529.10,2542.10,2504.00,2550.90,2523.50,2527.40,2523.35,3150.10,2025.00,645483.00,28683.00
10-Oct-25,Friday,October,Q4,2025,EQ,2552.00,2565.00,2538.80,2542.40,2542.10,2550.90,2552.39,3211.00,2025.00,690142.00,30769.00
9-Oct-25,Thursday,October,Q4,2025,EQ,2535.00,2559.00,2522.20,2524.10,2547.00,2542.40,2544.74,3211.00,2025.00,651703.00,28591.00
8-Oct-25,Wednesday,October,Q4,2025,EQ,2562.00,2565.00,2500.00,2542.20,2525.00,2524.10,2524.68,3211.00,2025.00,1063357.00,40794.00
7-Oct-25,Tuesday,October,Q4,2025,EQ,2580.70,2617.30,2533.10,2573.50,2556.50,2542.20,2579.42,3211.00,2025.00,1120230.00,48731.00
6-Oct-25,Monday,October,Q4,2025,EQ,2589.10,2599.80,2562.60,2589.90,2573.00,2573.50,2575.41,3211.00,2025.00,654955.00,29063.00
3-Oct-25,Friday,October,Q4,2025,EQ,2595.00,2612.90,2564.40,2592.70,2586.10,2589.90,2588.49,3211.00,2025.00,917651.00,37872.00
1-Oct-25,Wednesday,October,Q4,2025,EQ,2518.40,2603.40,2472.10,2505.90,2594.30,2592.70,2534.70,3211.00,2025.00,1573485.00,57732.00
30-Sep-25,Tuesday,September,Q3,2025,EQ,2522.00,2535.00,2490.60,2509.50,2509.00,2505.90,2512.97,3211.00,2025.00,712592.00,38461.00
29-Sep-25,Monday,September,Q3,2025,EQ,2543.70,2555.00,2505.00,2543.70,2521.00,2509.50,2528.21,3211.00,2025.00,1012402.00,48219.00
26-Sep-25,Friday,September,Q3,2025,EQ,2572.80,2605.00,2535.00,2576.40,2535.60,2543.70,2570.86,3211.00,2025.00,1037808.00,46432.00
25-Sep-25,Thursday,September,Q3,2025,EQ,2625.00,2647.90,2567.00,2619.80,2573.30,2576.40,2608.32,3211.00,2025.00,1489682.00,50400.00
24-Sep-25,Wednesday,September,Q3,2025,EQ,2655.00,2676.00,2614.40,2676.40,2624.00,2619.80,2647.88,3211.00,2025.00,1720785.00,60770.00
23-Sep-25,Tuesday,September,Q3,2025,EQ,2642.60,2695.00,2593.00,2629.50,2666.00,2676.40,2665.79,3211.00,2025.00,5610022.00,167336.00
22-Sep-25,Monday,September,Q3,2025,EQ,2535.00,2659.00,2522.10,2524.00,2624.50,2629.50,2615.49,3211.00,2025.00,7022985.00,200598.00
19-Sep-25,Friday,September,Q3,2025,EQ,2495.00,2579.00,2466.10,2402.00,2528.00,2524.00,2520.01,3211.00,2025.00,7965135.00,238677.00
18-Sep-25,Thursday,September,Q3,2025,EQ,2414.50,2438.00,2388.40,2402.00,2402.00,2402.00,2409.55,3211.00,2025.00,703730.00,35404.00
17-Sep-25,Wednesday,September,Q3,2025,EQ,2417.00,2417.00,2391.00,2399.40,2408.00,2402.00,2402.50,3211.00,2025.00,514354.00,30311.00
16-Sep-25,Tuesday,September,Q3,2025,EQ,2410.00,2415.80,2388.00,2383.40,2401.00,2399.40,2398.04,3211.00,2025.00,752979.00,33207.00
15-Sep-25,Monday,September,Q3,2025,EQ,2392.00,2402.80,2378.10,2392.00,2381.00,2383.40,2389.59,3211.00,2025.00,298129.00,20087.00
12-Sep-25,Friday,September,Q3,2025,EQ,2416.90,2421.60,2387.10,2398.80,2389.00,2392.00,2403.95,3211.00,2025.00,533971.00,27629.00
11-Sep-25,Thursday,September,Q3,2025,EQ,2348.00,2418.70,2340.20,2340.20,2408.00,2398.80,2394.03,3211.00,2025.00,2111888.00,91785.00
