DATE,DAY,MONTH,Quarter,YEAR,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,NO. OF  TRADES
10-Sep-25,Wednesday,September,Q3,2025,EQ,2330.00,2345.90,2325.10,2311.60,2340.80,2340.20,2337.73,3211.00,2025.00,390490.00,26122.00
9-Sep-25,Tuesday,September,Q3,2025,EQ,2320.00,2325.00,2297.00,2310.90,2313.80,2311.60,2312.02,3211.00,2025.00,369431.00,25802.00
8-Sep-25,Monday,September,Q3,2025,EQ,2290.00,2333.90,2286.00,2281.40,2319.00,2310.90,2317.98,3211.00,2025.00,542811.00,33564.00
5-Sep-25,Friday,September,Q3,2025,EQ,2275.00,2293.50,2248.00,2278.80,2282.50,2281.40,2273.81,3211.00,2025.00,443010.00,28096.00
4-Sep-25,Thursday,September,Q3,2025,EQ,2309.90,2317.30,2275.00,2288.70,2280.00,2278.80,2291.33,3211.00,2025.00,392697.00,29912.00
3-Sep-25,Wednesday,September,Q3,2025,EQ,2285.00,2293.00,2263.10,2274.20,2292.00,2288.70,2279.50,3211.00,2025.00,443629.00,28773.00
2-Sep-25,Tuesday,September,Q3,2025,EQ,2291.00,2302.00,2264.00,2284.20,2278.00,2274.20,2283.41,3211.00,2025.00,481894.00,37899.00
1-Sep-25,Monday,September,Q3,2025,EQ,2259.00,2288.00,2252.10,2244.70,2286.60,2284.20,2274.83,3211.00,2025.00,425639.00,29502.00
29-Aug-25,Friday,August,Q3,2025,EQ,2283.00,2289.70,2240.00,2275.20,2247.90,2244.70,2257.72,3211.00,2025.00,795699.00,50217.00
28-Aug-25,Thursday,August,Q3,2025,EQ,2271.90,2327.90,2255.00,2272.00,2282.10,2275.20,2295.19,3211.00,2025.00,907868.00,55327.00
26-Aug-25,Tuesday,August,Q3,2025,EQ,2304.00,2309.30,2249.40,2302.90,2286.00,2272.00,2271.65,3211.00,2025.00,1071550.00,49449.00
25-Aug-25,Monday,August,Q3,2025,EQ,2335.70,2348.40,2300.00,2324.90,2302.80,2302.90,2317.89,3211.00,2025.00,542455.00,28277.00
22-Aug-25,Friday,August,Q3,2025,EQ,2369.90,2376.30,2321.00,2377.20,2323.00,2324.90,2338.18,3211.00,2025.00,584211.00,34341.00
21-Aug-25,Thursday,August,Q3,2025,EQ,2387.10,2397.00,2371.40,2387.10,2373.00,2377.20,2384.83,3211.00,2025.00,441867.00,24817.00
20-Aug-25,Wednesday,August,Q3,2025,EQ,2380.00,2406.00,2372.10,2388.40,2391.00,2387.10,2389.93,3211.00,2025.00,780025.00,34030.00
19-Aug-25,Tuesday,August,Q3,2025,EQ,2339.90,2395.60,2314.10,2333.60,2380.70,2388.40,2368.18,3211.00,2025.00,1069432.00,58469.00
18-Aug-25,Monday,August,Q3,2025,EQ,2309.60,2360.00,2300.00,2281.60,2325.50,2333.60,2339.34,3211.00,2025.00,988629.00,45655.00
14-Aug-25,Thursday,August,Q3,2025,EQ,2288.00,2304.00,2267.70,2280.10,2280.10,2281.60,2285.60,3211.00,2025.00,998109.00,39420.00
13-Aug-25,Wednesday,August,Q3,2025,EQ,2299.00,2314.90,2245.40,2288.20,2287.00,2280.10,2278.92,3211.00,2025.00,833679.00,42397.00
12-Aug-25,Tuesday,August,Q3,2025,EQ,2280.10,2314.70,2267.00,2283.40,2294.50,2288.20,2290.14,3211.00,2025.00,1075526.00,61725.00
11-Aug-25,Monday,August,Q3,2025,EQ,2196.00,2302.00,2183.00,2178.10,2270.20,2283.40,2257.64,3211.00,2025.00,2376286.00,118272.00
8-Aug-25,Friday,August,Q3,2025,EQ,2247.00,2260.90,2164.80,2249.80,2179.00,2178.10,2185.27,3242.65,2025.00,2552736.00,101023.00
7-Aug-25,Thursday,August,Q3,2025,EQ,2290.00,2295.00,2202.80,2300.30,2245.90,2249.80,2244.12,3242.65,2025.00,1529410.00,72389.00
6-Aug-25,Wednesday,August,Q3,2025,EQ,2333.90,2347.90,2296.00,2328.20,2300.00,2300.30,2311.60,3242.65,2025.00,631582.00,35196.00
5-Aug-25,Tuesday,August,Q3,2025,EQ,2370.00,2370.00,2316.00,2363.60,2333.00,2328.20,2333.43,3242.65,2025.00,576742.00,36761.00
4-Aug-25,Monday,August,Q3,2025,EQ,2360.00,2374.70,2338.20,2350.90,2364.70,2363.60,2358.52,3242.65,2025.00,576426.00,35680.00
1-Aug-25,Friday,August,Q3,2025,EQ,2425.00,2444.90,2333.00,2430.70,2341.50,2350.90,2387.30,3258.00,2025.00,976341.00,50438.00
31-Jul-25,Thursday,July,Q3,2025,EQ,2509.90,2520.00,2422.60,2532.90,2430.00,2430.70,2466.47,3258.00,2025.00,1457616.00,74728.00
30-Jul-25,Wednesday,July,Q3,2025,EQ,2547.90,2552.60,2525.00,2547.90,2527.00,2532.90,2541.06,3258.00,2025.00,262063.00,22733.00
29-Jul-25,Tuesday,July,Q3,2025,EQ,2529.00,2557.40,2507.50,2522.30,2545.50,2547.90,2534.72,3258.00,2025.00,424781.00,32528.00
28-Jul-25,Monday,July,Q3,2025,EQ,2549.00,2585.00,2512.60,2550.10,2528.00,2522.30,2545.55,3258.00,2025.00,428409.00,33834.00
25-Jul-25,Friday,July,Q3,2025,EQ,2605.00,2617.00,2544.10,2608.40,2549.50,2550.10,2568.46,3258.00,2025.00,424612.00,30247.00
24-Jul-25,Thursday,July,Q3,2025,EQ,2615.40,2624.20,2595.00,2614.50,2608.00,2608.40,2607.65,3258.00,2025.00,253782.00,22026.00
23-Jul-25,Wednesday,July,Q3,2025,EQ,2600.70,2625.90,2593.50,2587.80,2615.50,2614.50,2612.73,3258.00,2025.00,316424.00,24447.00
22-Jul-25,Tuesday,July,Q3,2025,EQ,2626.00,2630.00,2581.60,2619.50,2593.90,2587.80,2599.99,3258.00,2025.00,387055.00,25897.00
21-Jul-25,Monday,July,Q3,2025,EQ,2596.30,2624.90,2585.00,2596.10,2615.70,2619.50,2612.22,3258.00,2025.00,369782.00,28077.00
18-Jul-25,Friday,July,Q3,2025,EQ,2612.00,2626.70,2584.20,2616.60,2594.20,2596.10,2599.80,3258.00,2025.00,479942.00,32389.00
17-Jul-25,Thursday,July,Q3,2025,EQ,2612.00,2654.50,2605.30,2608.50,2614.90,2616.60,2628.55,3258.00,2025.00,785771.00,43962.00
16-Jul-25,Wednesday,July,Q3,2025,EQ,2602.50,2619.50,2595.50,2598.20,2608.20,2608.50,2610.55,3258.00,2025.00,686644.00,37057.00
15-Jul-25,Tuesday,July,Q3,2025,EQ,2588.00,2606.90,2576.00,2581.30,2603.10,2598.20,2593.15,3258.00,2025.00,379425.00,24377.00
14-Jul-25,Monday,July,Q3,2025,EQ,2555.00,2604.80,2543.50,2558.70,2578.00,2581.30,2576.63,3258.00,2025.00,536585.00,34764.00
11-Jul-25,Friday,July,Q3,2025,EQ,2575.00,2591.90,2551.90,2581.00,2562.90,2558.70,2567.75,3258.00,2025.00,390645.00,26150.00
10-Jul-25,Thursday,July,Q3,2025,EQ,2591.00,2604.00,2575.00,2583.00,2581.00,2581.00,2586.00,3258.00,2025.00,306565.00,24631.00
9-Jul-25,Wednesday,July,Q3,2025,EQ,2599.00,2609.90,2570.00,2591.30,2582.30,2583.00,2588.47,3258.00,2025.00,396880.00,25511.00
8-Jul-25,Tuesday,July,Q3,2025,EQ,2586.00,2600.00,2573.00,2576.10,2588.00,2591.30,2585.46,3258.00,2025.00,357701.00,24369.00
7-Jul-25,Monday,July,Q3,2025,EQ,2602.00,2605.40,2572.00,2599.10,2587.60,2576.10,2582.98,3258.00,2025.00,412159.00,30384.00
4-Jul-25,Friday,July,Q3,2025,EQ,2617.00,2617.00,2582.20,2611.20,2599.00,2599.10,2599.15,3258.00,2025.00,370305.00,25138.00
3-Jul-25,Thursday,July,Q3,2025,EQ,2634.00,2644.00,2605.10,2630.20,2608.00,2611.20,2618.10,3258.00,2025.00,502724.00,29883.00
2-Jul-25,Wednesday,July,Q3,2025,EQ,2634.00,2646.00,2613.60,2621.80,2629.00,2630.20,2630.67,3258.00,2025.00,621409.00,34383.00
1-Jul-25,Tuesday,July,Q3,2025,EQ,2624.90,2645.00,2603.00,2619.40,2626.00,2621.80,2625.01,3258.00,2025.00,729197.00,37539.00
30-Jun-25,Monday,June,Q2,2025,EQ,2650.00,2653.90,2605.90,2646.30,2624.80,2619.40,2623.16,3258.00,2025.00,694815.00,51699.00
27-Jun-25,Friday,June,Q2,2025,EQ,2587.70,2681.60,2582.00,2586.20,2644.80,2646.30,2642.47,3258.00,2025.00,4049316.00,121691.00
26-Jun-25,Thursday,June,Q2,2025,EQ,2535.00,2593.60,2522.20,2527.20,2580.00,2586.20,2559.96,3258.00,2025.00,1339627.00,57666.00
25-Jun-25,Wednesday,June,Q2,2025,EQ,2519.90,2541.60,2512.10,2505.60,2530.00,2527.20,2527.87,3258.00,2025.00,921346.00,34059.00
24-Jun-25,Tuesday,June,Q2,2025,EQ,2504.00,2544.60,2500.20,2472.00,2505.00,2505.60,2523.06,3258.00,2025.00,996405.00,53316.00
23-Jun-25,Monday,June,Q2,2025,EQ,2438.00,2492.60,2421.00,2448.40,2466.00,2472.00,2467.70,3258.00,2025.00,790535.00,34421.00
20-Jun-25,Friday,June,Q2,2025,EQ,2428.00,2461.30,2415.00,2420.60,2449.60,2448.40,2447.49,3345.00,2025.00,3002549.00,67242.00
19-Jun-25,Thursday,June,Q2,2025,EQ,2466.30,2468.90,2405.10,2459.10,2414.00,2420.60,2431.18,3345.00,2025.00,688209.00,46707.00
18-Jun-25,Wednesday,June,Q2,2025,EQ,2491.90,2495.90,2445.40,2488.50,2456.90,2459.10,2467.90,3345.00,2025.00,667044.00,40514.00
17-Jun-25,Tuesday,June,Q2,2025,EQ,2535.00,2539.60,2479.00,2544.00,2485.20,2488.50,2499.54,3345.00,2025.00,703343.00,34502.00
16-Jun-25,Monday,June,Q2,2025,EQ,2500.00,2563.30,2462.00,2507.90,2539.90,2544.00,2527.44,3345.00,2025.00,956459.00,41826.00
13-Jun-25,Friday,June,Q2,2025,EQ,2498.00,2516.00,2460.00,2543.70,2506.00,2507.90,2502.73,3345.00,2025.00,695869.00,41308.00
12-Jun-25,Thursday,June,Q2,2025,EQ,2591.50,2601.80,2530.00,2581.20,2536.00,2543.70,2561.98,3345.00,2025.00,955097.00,57018.00
11-Jun-25,Wednesday,June,Q2,2025,EQ,2630.00,2630.90,2563.10,2613.10,2584.10,2581.20,2596.52,3345.00,2025.00,745432.00,37014.00
10-Jun-25,Tuesday,June,Q2,2025,EQ,2600.00,2663.20,2577.70,2582.10,2618.00,2613.10,2626.35,3345.00,2025.00,2084054.00,86665.00
9-Jun-25,Monday,June,Q2,2025,EQ,2545.00,2604.10,2524.50,2534.20,2582.00,2582.10,2568.33,3345.00,2025.00,1711167.00,56427.00
6-Jun-25,Friday,June,Q2,2025,EQ,2514.90,2553.30,2504.00,2504.40,2535.00,2534.20,2534.95,3743.90,2025.00,640680.00,53932.00
5-Jun-25,Thursday,June,Q2,2025,EQ,2495.00,2530.10,2487.50,2489.40,2510.00,2504.40,2510.52,3743.90,2025.00,673209.00,38579.00
4-Jun-25,Wednesday,June,Q2,2025,EQ,2480.00,2503.00,2441.10,2470.90,2487.00,2489.40,2475.85,3743.90,2025.00,552667.00,34151.00
3-Jun-25,Tuesday,June,Q2,2025,EQ,2511.00,2512.50,2452.00,2518.80,2471.10,2470.90,2480.64,3743.90,2025.00,962708.00,48961.00
2-Jun-25,Monday,June,Q2,2025,EQ,2527.00,2564.00,2514.90,2519.90,2524.70,2518.80,2534.89,3743.90,2025.00,1008716.00,49113.00
30-May-25,Friday,May,Q2,2025,EQ,2550.00,2564.00,2513.80,2540.80,2518.00,2519.90,2530.54,3743.90,2025.00,684592.00,37146.00
29-May-25,Thursday,May,Q2,2025,EQ,2536.70,2559.00,2511.00,2515.00,2543.00,2540.80,2535.48,3743.90,2025.00,802317.00,41626.00
28-May-25,Wednesday,May,Q2,2025,EQ,2559.00,2559.00,2510.00,2540.30,2517.50,2515.00,2529.94,3743.90,2025.00,575989.00,26261.00
27-May-25,Tuesday,May,Q2,2025,EQ,2545.90,2569.10,2526.10,2547.70,2536.00,2540.30,2547.98,3743.90,2025.00,514936.00,37644.00
26-May-25,Monday,May,Q2,2025,EQ,2549.10,2568.90,2541.30,2540.00,2543.60,2547.70,2554.17,3743.90,2025.00,552912.00,31870.00
23-May-25,Friday,May,Q2,2025,EQ,2499.00,2548.10,2490.50,2487.60,2537.00,2540.00,2530.50,3743.90,2025.00,968415.00,37154.00
22-May-25,Thursday,May,Q2,2025,EQ,2500.40,2521.90,2465.30,2500.40,2496.60,2487.60,2492.02,3743.90,2025.00,906909.00,50284.00
21-May-25,Wednesday,May,Q2,2025,EQ,2509.70,2524.50,2483.70,2501.60,2503.00,2500.40,2503.22,3743.90,2025.00,529234.00,34568.00
20-May-25,Tuesday,May,Q2,2025,EQ,2545.00,2564.80,2492.50,2540.60,2505.90,2501.60,2530.10,3743.90,2025.00,628023.00,42558.00
19-May-25,Monday,May,Q2,2025,EQ,2571.30,2578.80,2536.00,2555.00,2538.00,2540.60,2556.88,3743.90,2025.00,681000.00,41131.00
16-May-25,Friday,May,Q2,2025,EQ,2529.00,2584.20,2516.20,2520.00,2551.00,2555.00,2555.88,3743.90,2025.00,1641135.00,64469.00
15-May-25,Thursday,May,Q2,2025,EQ,2463.40,2526.80,2450.70,2461.90,2519.00,2520.00,2499.39,3743.90,2025.00,1554801.00,106591.00
14-May-25,Wednesday,May,Q2,2025,EQ,2444.90,2481.90,2430.10,2441.20,2463.00,2461.90,2464.92,3743.90,2025.00,774441.00,46754.00
13-May-25,Tuesday,May,Q2,2025,EQ,2425.00,2454.90,2405.00,2425.30,2438.20,2441.20,2430.56,3743.90,2025.00,1815179.00,88886.00
12-May-25,Monday,May,Q2,2025,EQ,2350.00,2433.30,2315.00,2251.00,2425.00,2425.30,2404.10,3743.90,2025.00,2147039.00,89860.00
9-May-25,Friday,May,Q2,2025,EQ,2240.00,2273.10,2233.00,2285.30,2255.00,2251.00,2247.36,3743.90,2025.00,1006000.00,54744.00
8-May-25,Thursday,May,Q2,2025,EQ,2362.00,2367.80,2260.00,2353.10,2270.00,2285.30,2316.22,3743.90,2025.00,1380069.00,77928.00
7-May-25,Wednesday,May,Q2,2025,EQ,2315.00,2379.50,2315.00,2354.00,2349.00,2353.10,2352.03,3743.90,2025.00,1012640.00,72371.00
6-May-25,Tuesday,May,Q2,2025,EQ,2454.00,2463.20,2343.50,2455.50,2350.00,2354.00,2393.88,3743.90,2025.00,1524692.00,76489.00
5-May-25,Monday,May,Q2,2025,EQ,2312.60,2497.00,2297.80,2294.20,2465.00,2455.50,2437.24,3743.90,2025.00,4227194.00,183049.00
2-May-25,Friday,May,Q2,2025,EQ,2349.90,2372.40,2289.40,2301.30,2290.00,2294.20,2324.92,3743.90,2025.00,1958739.00,97216.00
30-Apr-25,Wednesday,April,Q2,2025,EQ,2331.40,2340.00,2285.00,2330.60,2290.00,2301.30,2313.67,3743.90,2025.00,837464.00,52676.00
29-Apr-25,Tuesday,April,Q2,2025,EQ,2392.00,2400.00,2325.60,2369.80,2330.50,2330.60,2353.79,3743.90,2025.00,670730.00,43294.00
28-Apr-25,Monday,April,Q2,2025,EQ,2346.00,2402.00,2337.60,2354.30,2369.10,2369.80,2373.30,3743.90,2025.00,681421.00,48214.00
25-Apr-25,Friday,April,Q2,2025,EQ,2450.10,2459.50,2323.50,2442.50,2346.00,2354.30,2362.60,3743.90,2025.00,1414809.00,82782.00
24-Apr-25,Thursday,April,Q2,2025,EQ,2450.00,2461.40,2425.10,2453.60,2441.00,2442.50,2441.63,3743.90,2025.00,596696.00,45640.00
23-Apr-25,Wednesday,April,Q2,2025,EQ,2460.00,2473.80,2421.20,2445.50,2446.00,2453.60,2448.18,3743.90,2025.00,672262.00,44335.00
22-Apr-25,Tuesday,April,Q2,2025,EQ,2458.90,2483.40,2441.00,2442.70,2442.90,2445.50,2462.49,3743.90,2025.00,766567.00,45565.00
21-Apr-25,Monday,April,Q2,2025,EQ,2426.10,2464.90,2395.50,2418.10,2440.00,2442.70,2436.61,3743.90,2025.00,782559.00,49163.00
17-Apr-25,Thursday,April,Q2,2025,EQ,2418.00,2448.60,2392.00,2415.60,2414.80,2418.10,2423.13,3743.90,2025.00,1054797.00,65818.00
16-Apr-25,Wednesday,April,Q2,2025,EQ,2400.00,2428.00,2382.90,2418.20,2414.10,2415.60,2405.12,3743.90,2025.00,889949.00,49754.00
15-Apr-25,Tuesday,April,Q2,2025,EQ,2375.00,2440.00,2359.00,2321.40,2415.90,2418.20,2410.05,3743.90,2025.00,1145125.00,64533.00
11-Apr-25,Friday,April,Q2,2025,EQ,2303.05,2343.50,2281.00,2236.90,2318.75,2321.40,2317.43,3743.90,2025.00,981463.00,61931.00
9-Apr-25,Wednesday,April,Q2,2025,EQ,2265.70,2279.55,2215.20,2285.70,2243.45,2236.90,2239.69,3743.90,2025.00,1001633.00,56281.00
8-Apr-25,Tuesday,April,Q2,2025,EQ,2270.00,2301.00,2225.00,2212.70,2288.95,2285.70,2273.41,3743.90,2025.00,1224362.00,61791.00
7-Apr-25,Monday,April,Q2,2025,EQ,2150.05,2239.00,2145.00,2334.65,2222.90,2212.70,2195.57,3743.90,2025.00,1567177.00,91075.00
4-Apr-25,Friday,April,Q2,2025,EQ,2394.95,2410.05,2315.50,2410.80,2336.30,2334.65,2344.17,3743.90,2025.00,1219733.00,68843.00
3-Apr-25,Thursday,April,Q2,2025,EQ,2339.75,2429.90,2339.70,2369.40,2414.00,2410.80,2403.94,3743.90,2025.00,1023200.00,59356.00
2-Apr-25,Wednesday,April,Q2,2025,EQ,2339.75,2378.85,2314.55,2335.25,2369.00,2369.40,2352.69,3743.90,2025.00,573928.00,44789.00
1-Apr-25,Tuesday,April,Q2,2025,EQ,2312.00,2358.95,2301.00,2315.80,2340.00,2335.25,2335.05,3743.90,2025.00,501942.00,38905.00
28-Mar-25,Friday,March,Q1,2025,EQ,2376.00,2386.95,2293.70,2363.35,2316.65,2315.80,2330.66,3743.90,2025.00,1838836.00,70667.00
27-Mar-25,Thursday,March,Q1,2025,EQ,2310.00,2373.90,2291.60,2312.60,2363.00,2363.35,2332.26,3743.90,2025.00,1696042.00,81185.00
26-Mar-25,Wednesday,March,Q1,2025,EQ,2324.90,2359.85,2308.05,2320.35,2314.00,2312.60,2332.77,3743.90,2025.00,1078870.00,58779.00
25-Mar-25,Tuesday,March,Q1,2025,EQ,2385.00,2387.65,2315.10,2368.70,2319.50,2320.35,2339.21,3743.90,2025.00,763065.00,46534.00
24-Mar-25,Monday,March,Q1,2025,EQ,2370.00,2395.00,2361.10,2362.80,2370.00,2368.70,2376.20,3743.90,2025.00,1010184.00,39593.00
21-Mar-25,Friday,March,Q1,2025,EQ,2343.80,2389.55,2338.00,2339.30,2365.00,2362.80,2365.79,3743.90,2025.00,1101418.00,55299.00
20-Mar-25,Thursday,March,Q1,2025,EQ,2348.00,2348.00,2299.00,2318.65,2338.05,2339.30,2330.01,3743.90,2025.00,2587051.00,55254.00
19-Mar-25,Wednesday,March,Q1,2025,EQ,2319.95,2342.00,2311.05,2308.50,2316.90,2318.65,2324.68,3743.90,2025.00,1030345.00,42002.00
18-Mar-25,Tuesday,March,Q1,2025,EQ,2274.00,2314.20,2259.75,2252.70,2304.55,2308.50,2291.19,3743.90,2025.00,878007.00,47968.00
17-Mar-25,Monday,March,Q1,2025,EQ,2200.00,2286.90,2198.00,2221.10,2251.00,2252.70,2255.72,3743.90,2025.00,927737.00,52613.00
